1.0,1.0,1.12359,5.91902,0.10455,0.07223,0.07223,0.14291,0.46528,
1.0,1.0,1.12158,2.46658,0.15728,0.27498,0.27498,1.04199,0.4428,
1.0,2.0,1.12474,6.06466,0.13121,0.08445,0.08445,0.15514,0.76954,
1.0,2.0,1.22003,2.92461,0.04664,0.01476,0.01476,0.11798,0.6033,
1.0,3.0,1.0507,6.06848,0.12765,0.05244,0.05244,0.12982,1.5383,
1.0,3.0,1.14895,2.94071,0.06755,0.01806,0.01806,0.04616,1.1951,
2.0,1.0,1.13902,5.96991,0.05708,0.03039,0.03039,0.14304,0.40058,
2.0,1.0,1.10476,2.47529,0.13501,0.30491,0.30491,1.38042,0.36083,
2.0,2.0,1.23462,6.18736,0.05569,0.01989,0.01989,0.08733,0.86076,
2.0,2.0,1.23998,3.01151,0.03678,0.01292,0.01292,0.10697,0.6747,
2.0,3.0,1.19833,3.03006,0.04592,0.00473,0.00473,0.03377,1.75557,
2.0,3.0,1.19874,6.16228,0.07773,0.03107,0.03107,0.06147,2.05804,
3.0,1.0,1.21434,2.99629,0.03345,0.01912,0.01912,0.18774,0.40847,
3.0,1.0,1.14615,-0.10721,0.05972,0.03827,0.03827,0.14943,0.65293,
3.0,2.0,1.27919,0.00727,0.04173,-0.00072,-0.00072,0.03112,2.29435,
3.0,2.0,1.2618,3.14207,0.02699,0.00121,0.00121,0.02236,1.69476,
3.0,3.0,1.30575,-0.02447,0.0395,0.00186,0.00186,0.01826,2.66431,
3.0,3.0,1.24858,3.11663,0.03279,-0.00019,-0.00019,0.01458,2.34078,
4.0,1.0,1.18943,0.45398,0.0187,-0.01399,-0.01399,0.03127,0.992,
4.0,2.0,1.26151,-0.02259,0.04716,-0.00055,-0.00055,0.02264,3.79526,
4.0,2.0,1.252,3.1086,0.03631,0.00588,0.00588,0.02946,2.89971,
4.0,3.0,1.25308,0.01376,0.03784,0.00049,0.00049,0.01459,3.56834,
4.0,3.0,1.251,3.12213,0.03804,0.00372,0.00372,0.01747,2.99276,
5.0,1.0,1.14958,4.48958,0.09785,-0.04463,-0.04463,2.35554,1.3078,
5.0,1.0,1.24476,0.52001,0.02539,-0.00435,-0.00435,0.01129,0.17761,
5.0,2.0,1.23042,-0.00183,0.05824,-0.00252,-0.00252,0.05961,1.67264,
5.0,2.0,1.23634,3.24604,0.04762,-0.00701,-0.00701,0.11252,1.53548,
5.0,3.0,1.23543,0.0707,0.04401,-0.00442,-0.00442,0.01559,4.57242,
5.0,3.0,1.27061,3.17811,0.03317,-0.00329,-0.00329,0.02443,3.28908,
6.0,1.0,1.14377,3.50673,0.09638,-0.00293,-0.00293,0.14226,0.55482,
6.0,1.0,1.08131,0.25256,0.13343,0.01971,0.01971,0.17211,0.50593,
6.0,2.0,1.16889,3.40813,0.0781,-0.00993,-0.00993,0.11836,0.75846,
6.0,2.0,1.1014,0.18593,0.13694,-0.00808,-0.00808,0.11887,0.81121,
6.0,3.0,0.95546,0.19574,0.21149,-0.08054,-0.08054,0.62063,6.82822,
6.0,3.0,1.1636,3.30824,0.06534,-0.02009,-0.02009,0.04221,3.64139,
